upvotes,title
3,"If my dream is to teach psychology at the university level, should I get a PhD in IO?"
4,Scope for IO Psychology in UK?
4,Looking for citations for recruiting method
3,"When and why does status threat at work bring out the best and the worst in us? A temporal social comparison theory (Organizational Psychology Review, 2022)"
3,IO Psych Student - Tell me what I should know!
5,What other courses would you go for?
3,Breaking into I/O
4,"Working on an article for common stats methods in our field, however topics on regression are all over the place."
4,Business Psych undergraduate
4,Looking for information on technology-based assessments (preferably systematic reviews or meta-analysis) - any recommendations?
4,A question about Herzbergs two-factor theory
3,Research on Personnel Selection
3,RMPA Presentations?
3,Journal recommendations
3,Scale for Seeking Relationships at Work
3,Open Source Tableau
2,Job analysis
2,Value of an education in IO psych
3,what do you do with your assessment data on leaders?
2,SIOP Conference question: Does anyone have an extra room at the Sheraton?
2,Reporting / BI Analyst Salary
3,Leadership Development Certifications
3,Survey crowdsourcing
3,NEED SOME ADVICE &lt;3
3,What do you regard as essential readings on change and resilience?
3,Where can I find sample social network analysis data sets?
3,Questions about the field from an undergrad
3,"Help, please recommend short courses or books one can refer to up-skill themselves in the field of IOBP?"
3,"Hello, how can a fresh graduate go about finding jobs in this field in London/UK market?"
3,Beginner Resources for Network Psychometrics?
4,burnout studies in organizations
3,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
3,"If someone said ""the way we work has not changed much since the industrial era"" what kind of data or proof would you identify to reinforce that?"
3,How do you define personality?
3,What are you working on? - October 2022
3,From Finance into Psychology/Life Coaching
3,Strategies on organizing citations
3,The presentation(s) I most hope to see at SIOP23...
3,Literature Search/Sources
3,Personality assessment tools used while recruiting
3,Does anyone know of any books (academic or other) that do a good job highlighting the engagement research that has been and is coming out of social media?
3,Any resources for tree models in psychometrics?
3,Racial barriers to MSP world.
3,Looking for research on differences in requirements (KSAOs) by job clusters / job families
4,5/6 months until I start applying for Masters - what do I do?
3,Looking for measures of applicants' acceptance of test batteries
3,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
3,Questionnaire For Org About Internal Candidates Perceived Potential to be CEO ?
3,How useful is data science in I/O Psychology?
3,How do I/Os help both management AND employees at the same time?
3,Performance management
3,What is the most frequent type of analysis you conduct at work?
2,how does the industry of I/O Psych treat tattoos and piercings?
3,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
4,Clinical psych masters student looking at I/O
3,Where to find conferences related to HR / Psychology / OD
3,Will my GPA kill me in grad school apps?
7,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
7,Looking to talk with someone who does Executive Coaching for their career. I'd like to learn more about your day to day life and see if this is a good path for me to take. Thank you so much.
6,Do you need to know about IO psych before you register to a master degree of IO PSY?
6,Which bachelors degree would be most beneficial
6,Transition to people analytics role but lack IO background
7,Education requirements
7,Need help with the right approach for measuring employee's motivation (+ does anyone have the MWMS scale scoring?)
6,Low GRE score. What are my chances?
6,Help me design a silly experiment for fun
6,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
6,Any research on what factors affect the validity of assessment methods?
7,"Hi, does anyone know whether the recovery experiences scale is free to use for research purposes? Does it require permission from the authors?"
6,How would you approach translating survey items and academic material into multiple languages? How can you ensure consistency of meaning etc?
6,"PhD and working full time? Good or bad idea? Hi Im considering doing both, hopefully trying to match both (ie research topic being relevant to the org and myself). Have people done it? The potential PhD supervisor seems okay in terms of time expectations on the work."
7,Curious if anyone would be willing to share how they structure their select assessments function in their company
6,Organizational Behavior vs I-O Psychology differences
7,Prepping for Masters in IO Psychology
6,Certificate in IO Psych vs. MA in IO Psych
6,my predictive index results
7,What/why do proposals get rejected from SIOP Annual Conference? What typically gets accepted?
6,How to foster psychological safety at work?
5,What of note has been going on recently in business consulting and change management?
6,The war for talent - is it still a thing in 2022/2023?
5,Scales of measurement
5,Mentioning company names in personal statement for Masters?
5,Just a quick question from some considering going into I/O psychology
5,"Currently in undergrad, I need answers about I-O."
6,Assessment Strategy
5,what do IO psychologist do?
7,Is IO still worth it if I dont want to live in big cities? Hows the job market looking due to current lay off in big companies?
6,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
6,Certain practices more/less effective depending on cultural context?
5,"Followup question on ADKAR question from earlier this week- Commenters mentioned using ADKAR with Kotter or Lewin's theories. That makes sense, but in your opinion, do clients or hiring employers care about other methods when ADKAR/Prosci is repeated everywhere as THE CERTIFICATION?"
7,Does Your School Conduct Research on Teams?
6,How binding is a PhD in IO Psychology? Could you still teach other topics within psychology? Could you open a clinical practice?
6,IO psyc job prospects in Canada (Quebec and Ontario?)
7,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
6,"What are current trends, buzzwords and concepts in the applied setting?"
6,ADVICE NEEDED: Path to IO Psych Professor
5,Top tier company but shitty job position
6,USA I/O PhD Salary/Stipend
5,Help developing research question on AI in work
6,Baruch Executive Master in IO
5,Who's at SIOP?
6,Question: can an undergrad IO degree be used in a sports organization?
4,Mentoring Communities
5,How to improve organizational culture?
5,Job path
4,What to do next.
7,What was your most memorable and/or favorite gradschool experience?
5,How to evaluate the effectiveness of an innovative idea before implementing it?
4,IO Psychology Transition Advice Needed!!!!
5,Hogan Certification worth it?
5,Conferences?
5,Work &amp; Organisational Behaviour Research - Request for Survey Participants (Work Ability &amp; Presenteeism)
4,Best measure of social support?
7,Power BI or Tableau?
4,Corrective plans for low performing account managers
5,2022 SIOP REPORT ?
4,Should I get a Design Thinking Certification?
6,Limitations of Open Science in Field Research
5,Question about questions
5,is it hard for a foreigner to find i/o jobs in the us?
6,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
5,career help
5,Database of work sample tests?
7,How to remove careless responding from reverse scored survey
5,What do you read for fun?
5,What are the dream positions or organizations in this field?
6,Thoughts on the Lumina Spark for Leadership Development
4,Any org psychs in MBB consulting?
6,"The Effects of UPcomplish on Office Workers Sedentary Behaviour, Quality of Life and Psychosocial Determinants: A Stepped-Wedge Design (International Journal of Behavioral Medicine, 2022)"
6,Best way to measure how something affects Job Satisfaction?
5,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
5,"Experience using RevMan, Covidence or other software for a meta-analysis"
5,Working in a corporation? career?
6,"Hi everyone, is anyone familiar with a predictive framework that uses customer a type of psychological profile of a customer to predict how a customer/client will value your business?"
5,What are some survey question's to check whether employees are in the right place and are doing the right and most efficient work?
5,Study Design - Retrospective Standardized Testing and Employment Outcomes
4,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
5,"Im at a loss on what to do for my future career in psychology, can ya'll give me some ideas?"
5,Can social impact programs amplify employee voice and create a positive DEI environment in the workplace? A webinar got me thinking.
5,PhD advisors with emphasis on personality/intelligence?
5,Asking for a raise / post graduation
5,Recent college graduate
6,Get a second bachelors degree?
5,Interested in OD/OBM consulting - how essential is grad school?
6,(Re-)live in-person SIOP 2022 with this funny highlights reel!
6,I need suggestions for the intervention of work teams in the field of organizational development
4,What are good companies and titles that are relevant into getting a good occupation once I obtain my Bachelors in IO Psychology?
6,Talent Acquisition and Recruitment
5,Being thick-skinned vis-a-vis enduring toxic culture.
6,Job titles/Industry
4,Applying to NSF GRFP?
6,Survey wording question
5,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
6,Is the Chicago School of professional psychology a bad school?
6,Atlanta vs Dallas for IO Jobs
5,Entering IO Psych. profession with a Social Psych. graduate degree
6,Organizational Development Careers/Career Path
9,Textbook help
8,I/O vs Business Psychology
10,"Difference between Job rotation, Job enlargement, and Job enrichment"
9,Democracy in the Workplace
9,Jobs I/O Related (Post-grad)
9,What do you all think about mediation analyses on cross-sectional data?
9,Need advice before opting for a masters.
9,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
9,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
8,Question
8,What tools do IO Psychologists use?
9,what were your graduate school classes like?
7,How to explain the purpose of an IQ test without calling it an IQ test?
9,Career with chronic illness?
9,How to get research experience
8,IO- and Neuropsychology topics
7,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
7,"Does io psych talk about why professional world words can sound extremely formal, maybe royal? for example interviews are often not done ""done"" but ""given"" or ""offered""?"
9,How to break into the I/O field?
8,Volunteer or gig I/O work?
8,"R users, why not python?"
8,Future of continuous listening?
7,What are possible jobs to work before pursuing a masters?
9,How can I learn more about developing questionnaire items?
7,job change
7,Potential Internship opportunities
7,What global job evaluation methodology do you rate as the most practical and effective?
8,Any recommendations for good certification courses for some with 3-5 years experience?
7,Need inspiration for ad-hoc data projects
8,What are you working on? - December 2022
8,Any tips on taking the SHRM certification?
8,German IO Job names
9,I/O psychology vs Buisness analyst
7,"Finally, some me time: A new theoretical perspective on the benefits of commuting"
8,Trying to find access to an article
8,Practitioner Conferences?
7,Book recommendations for getting into change consulting practice
8,There is the saying that you cant improve what you dont measure. So how do you quantify employee performance?
9,I/O psychology mentor - Talent management
8,Predictive Index?
9,Survey platform for independent contractor use?
8,I/O Intern asking for advice and guidance!
8,Factors that influence the type of occupation a person gets into
7,Best material to learn about performance appraisal/management?
8,Hi. I reviewed the rules and think this acceptable here: Completed MA I/O Psych and seeking advice for part-time consulting employment
7,I/O Career.
8,Professor career outlook?
8,Advice for activities during a gap year
8,Case Interview for Consulting Jobs
8,"Is Job experience, or research experience more important for MA?"
8,What are the cornerstones of a good onboarding procedure?
8,"Telework satisfaction, wellbeing and performance in the digital era. Lessons learned during COVID-19 lockdown in Spain"
7,Is it crucial to have a business major background prior to MS in IO Psych?
9,Intern experience
7,What do applicants dislike about selection procedures?
8,Career Path Advice
8,Possible to break into the field (again)?
8,"What explains recent tech layoffs, and why should we be worried?"
6,Why am I so unproductive at my desk but not other areas?
6,Looking for your: Recommended Resources and Career Guidance
6,I/O Career help.
7,IO Psychology Careers Job Security
7,What is your professional opinion in thebusage of this question and your knowledge of this general approach to candidate screening?
7,Employee-focused careers in I/O
7,Should I pursue I/O psychology if I wish to get a master's abroad and work in that same country abroad?
7,IO Consulting firms profit and experience
8,Post-Grad school options of I/O
6,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
7,Work-life Integration - question regarding my degree thesis
7,SIOP Conference Decisions?
7,Alternatives to MTurk
7,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
7,Research into IO Psych
5,Employee Experience Management
7,Providing interview questions to applicants prior to the interview.
7,competency model developed with company values
6,Ever Thought About Strikes? Development of a Scale to Assess Attitudes and Behavioral Reactions to Strikes
6,Recommendations?: Where to start an I/O Psych career?
7,Is it better to send corporate survey before Christmas or after New Year's?
8,Interview Request - Job Shadow
8,Case study resources?
7,Counter argument
6,Literature review topic on disabilities
7,Looking for research on retirement
8,Looking for advice on how to organize L&amp;D in tech product company
8,MS in IO? Need Advice
8,Digital nomad and IO
7,Lack of psychological safety
7,Should one attain a BS or BA degree in undergrad when the goal is to pursue a graduate degree in I/O Psych? Or does it not matter?
8,Early IO experience
7,Data Analysis &amp; Insights!
8,What are you working on? - May 2022
6,Building an inclusion network
7,I/O careers and opportunities in the sports industry?
6,General I/OP career advice
6,Is there a list for I/O programs in California
6,How to choose an assessment for a hiring process?
6,"Looking to make a Lateral move from non-profit Child welfare education/mental health based programs as a Supervisor, into Data analytics type role"
6,Conferences other than the annual SIOP conference?
6,what are you doing for your continuous listening strategy?
12,Question on starting/teaching an I-O course at a community college.
12,ChatGPT on how to use ChatGPT for HR
12,How to start my career in IO?
12,What is the best text?
13,Would I be happy as an IO psychologist?
11,Best book on qualitative research method
11,"graduating in the spring w/ masters degree; when do I start applying, where are the best cities for IO psychs?"
11,Psych Major wanting to get into hr [resume question]
12,"People with political skill are more likely to end up in leadership positions, but are people with political skill better leaders?"
12,Research paper topic ideas
12,IO certification options
11,Has anyone successfully used their skills after getting a dual IO/MBA Degree?
11,Phd IO Psych Stipend
11,Should I take the job?
13,Differences between IO Psychology and Software Engineering?
11,What should I read to learn about pay for performance?
12,Podcasts for commute
11,Just finished my Master's IO Psych and am looking for advice
11,Topics that Dont Have Enough Research
11,Neurodivergent Selection
9,Stats in the industry
11,Engagement vs. Experience
12,Attrition analysis
11,Time-to-Event Analysis Aversion
11,"Where could I find some I/O firms from South America, and Asia?"
12,How is IO Psychology
11,U.S. Supreme court heard arguments for and against use of any racial criteria in university admission policies. Has race based affirmative action served its purpose and diversity does not require a consideration of race at any level of admission and thus be eliminated?
11,OD Consultants: how do you put your experience on your resume?
11,Gift ideas for an IO Psychologist?
11,Pay Transparency Strategy
11,BS Psych Major in undergrad. Is Minor in Neuroscience going to be useful?
11,Excel course for People analytics role starting out?
11,is the adkar model of change just a product? or is it
10,I-O Psychology jobs
10,Is marketing part of my job??
11,"Associations Between Occupational Status, Support at Work, and Salivary Cortisol Levels"
11,Fall 22 PhD Admits I/O
11,What should I do to help build my resume for IO
12,Cry for help: thesis on disidentification
10,Question about being a Recruiter for a company such as McKinsey
10,Humanitarian Work Psychology
12,Looking for highly regarded research on succession planning.
10,Have any of you done freelancing or used Upwork?
10,IO or HRM masters?
10,Concern over not committing to an original thesis idea
10,Spurious correlation exercise
10,LGBTQ+ Researching Scholars
10,Psych-&gt;corporate
10,Systems Theory Resources
9,AI Based Assessments
10,"Upon graduation with a masters level degree in IO, would I be doing myself a disservice applying to a small company?"
9,Should I major in psychology at the University of Minnesota or would it be better to go to the business school (Carlson school of management) and go for human resources and industrial relations major?
11,Soft Social Credit Score
9,Does anyone also have HR certifications?
10,What job analysis methodology do you recommend? I want to strengthen a selection process for a high risk role but want to look deeper into the reality of the role. Any references welcome.
11,Team exercises?
10,"As the economy heads into a potential recession, executives seek out consultants and organizational psychologists to reverse the trend."
9,How do you define belongingness?
9,"What do you think about having two teams in your company with exactly the same tasks, and having them be rivals to each other?"
9,What can we learn from recruitment?
10,looking for a job.
11,Difficulty of Master's Program?
9,Tips for breaking into people/talent analytics?
10,The Many Forms of Toxic Leadership Article
11,Undergrad research
9,Prioritizing people ops
10,Employee Referral Programs
10,Is there research/ what is your experience with this - Perceptions of unfairness when blind selection results in non-diverse outcomes
11,What should I read to learn more about the relationship between workforce diversity and organizational performance?
10,Name vs program
10,Can I talk to any IO psychologists? Basic questions for someone interested in learning about how life as an IO psychologist is.
11,Is broad or focused experience better?
9,What research/ area/ article should managers in an organization be specifically reading or following?
10,Career advice needed please
9,How often is social network analysis methods used in IO?
10,Job analysis question for practitioners
8,"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?"
8,Virtual SIOP Conference vs in-person
8,Online Courses (ie. Coursera)
9,Graduating with a Major in Psychology and Minor in Business. How should I proceed post-grad?
8,IO Psychology and CSR
9,How long after you received your graduate degree did you land a masters level job?
9,Careers similar to I-O psych that use more statistics and data science aspects
9,"Another week, hopefully those applying are hearing back!"
9,"Class of 2023, has anyone heard back from any graduate programs yet?"
9,Book recommendations?
9,IO Psych advice for undergrad
10,What internship would you go for as an undergrad?
9,"Good, Bad, and Ugly Leadership Patterns: Implications for Followers Work-Related and Context-Free Outcomes (Journal of Management, 2021)"
9,"Realistically, What Are My Grad School Chances?"
9,Any readings about the math and statistics behind classical test theory?
9,What are you working on? - November 2022
9,Interview request - job shadow
9,I/O &amp; Performance Psych
8,Is IO Psychology for me?
9,What are the best books about Machine Learning driven organizations?
9,What are the most common I-side applied roles?
9,Do I/O Master's programs typically require you to be employed to do certain assignments/projects?
9,Interested in I/O
9,What are good primers on industrial/organizational Psychology?
20,Can you make $100k without a master's? Can you become a consultant without a master's?
21,"Baby Boomers Are More Sensitive Than Millennials, According To The Largest-Ever Study On Narcissism -"
20,Neurodiversity within I/O
20,A guide for People Analytics?
21,The absence of complaints is one of the surest sign of failing leadership
19,Recently laid off and looking for community help
20,Is an I/O background useful for project management?
19,Any airlines that hire I/O Psychologists?
21,If you could do it all over... Would you still choose IO?
20,Job title?
19,I-O Psychology Academic Tree
20,Will studying IO be useful for HR? What research can I do in the field of IO to show my interest in HR?
19,Harvard Business Review
20,"Is it always true, that you shouldn't give people bonuses based on performance, because extrinsic motivation kills intrinsic motivation? What about job titles or other reputation symbols as rewards?"
19,Best Journals in the Field
19,Interested in I/O. Coming from sales. Long shot? Need advice.
19,Are there any good online resources to learn the math/statistics part of IO Psychology?
18,I got accepted to UGAs IOMP!!!
18,Anyone excited to go to SIOP?
19,"Just for funsies, do you prefer I/O Psychology or I-O Psychology"
17,Is our field dying? I feel like any Joe Blogs gets roles in fields IO psychs are working in. What do you think?
19,Feeling a bit lost.. (CA)
18,"A leaked Amazon memo may help explain why the tech giant is pushing (read: ""forcing"") out so many recruiters. Amazon has quietly been developing AI software to screen job applicants."
18,Taking 4-5 years to do part time masters in US. Concerned about knowledge retention.
19,People who got their masters in IO with a BA in psych: What was your minor?
18,What keywords can I use to look for entry-level jobs in psychoanalytics
19,Tips to get into People Analytics role
17,U.S. Department of Justice opens probe into Maryland State Police over possible racial discrimination in hiring and promotions
19,Career paths with IO psych?
18,"Job-seekers prefer to work for more diverse companies - ""A new study finds that job seekers are even willing to explore jobs with lower salaries when companies are more diverse."""
20,"The comments in this thread are so misinformed. As a discipline, how can we do better at demonstrating that pre-hire assessments are valid [not pseudoscience]?"
18,Do I stand a chance?
17,Graduating with an IO psychology degree and need advice please!
16,What factors should I be looking for in a college to be successful in the future for IO Psychology? What does a linear path look like?
18,What are the most valid personality tests for recruitment?
17,What made you decide I/O
16,Trying to get HR internship here with no experience. HELP!
17,Am I low-balling myself?
17,Working from Home
17,Managing People Help
17,First SIOP Acceptance: What to do
16,Introductory books to IO Psychology / Podcast recommendations
15,what does a day in the life as an io psychologist look like?
17,"Currently a clinical Psych RA, contemplating shifting to an I/O career&what relevant experience do I need to apply to programs?"
16,the logistical issue for completing a competency model across 50 job families with unique behaviors for each career level (20 total).
17,Are there I/O psychologists that work for the video game industry?
16,Book recommendations
18,Research relating to game-based assessments?
16,How do you apply machine learning techniques to IO concepts?
16,"Looking for studies comparing remote versus office workers' performance. Specifically, something about bias, heuristics, etc. Any suggestions?"
15,Is masters in general psychology enough or is IO masters essential?
15,Most research active organizations?
14,could artificial intelligence replace IO psychology in the future (2-3 decades)
16,Experiences from People Analytics
15,How do you get your value proposition in laymans terms? I always hit a wall trying to explain what I do in a compelling manner without boring or confusing people.
14,How can I learn to do job analysis (beyond simply re-reading my IO Psych textbook)?
16,Is this a good job offer?
15,Advice for the statistical portion of I/O Psych
16,Has anyone ever worked for a company where they actually did job analyses? (During or before you practiced I/O)
16,Knowledge diversity and hierarchy affect team effectiveness. Diverse teams function well only under the right leadership structure.
15,Undergrad job search
15,Pre I-O Jobs
16,Recent Master's Grad looking for job help
15,Normative vs. Ipsative personality tests in selection
15,Looking for audio book recommendations
15,"Am I getting paid enough? I recently defended my dissertation after 8 years grad school experience, I was abd for 2 years (thanks COVID), and have been at my company full time for 1.5 years. Im also required to come into the office full time and live in San Diego. I make 103k base salary&"
15,How do you dress for your job and what type of bag do you use?
14,Research on drinking culture at work?
15,How to assess the responses to behavioral interview questions?
14,What can I be doing to improve my skillset during my free time?
14,We are all playing for the same team right?
14,IO psychology masters personal statement
12,"Undergrad looking for internships, is HR my only realistic internship?"
14,Are there any free/affordable online learning resources for IO?
14,Where do you find surveys to use?
14,IO and Data Science/Analytics Question
14,Undergrad student looking for advice on the field
13,Is there research around the benefits/drawbacks of keeping self-evalutions but removing the quantitative component for performance reviews?
13,Are SHRM or HRCI certs valued in the I/O field?
13,SIOP registration transfer
13,What are the top or most prestigious I/O psych schools?
14,"Crosspost: Someone asked a question about the validity of MBTI, by the time I set up this submission, it was locked and removed"
13,People Development
13,What type of internship would you recommend?
12,"Recommendations on a measure/scale to get a sense of how people are feeling prior to a big structural change? I intend to run it a few times this year to keep a pulse on things. JAWS, JDI and JIG are options but there may be something more appropriate that Im not aware of?"
12,Marrying 20 years in tech to IO
13,Seeking employment in mid-career.
13,"Company plans on sending out surveys for ""pulse checks"" a few times a year. To keep it to a practical amount of questions (I'm guessing 5-10) that provide actionable data, what constructs/questions would be be best to include in the survey?"
12,Reliability and validity
12,Who are some of the biggest unconventional team / leadership development consulting firms?
12,SIOP Conference too expensive?
12,Research has found that you are more convincing when you phrase your opinions in form of a story rather than just stating facts or referencing scientific papers. How can I learn to communicate more in stories?
13,I am stuck in my career. Where do I go from here?
13,Break before Grad school
12,"Frameworks/models for ""good job"" other than Job Characteristics Model?"
